17001,..\Resource\Image\Object\Boss\Map1\DefenseCannon.png
17002,..\Resource\Image\Object\Boss\Map1\DefenseCannon_Gun.png
17003,..\Resource\Image\Object\Boss\Map1\DefenseCannon_Turret.png
17004,..\Resource\Image\Object\Boss\Map1\SpinerBoss.png
17005,..\Resource\Image\Object\Boss\Map3\BossBodySprite.png
17006,..\Resource\Image\Object\Boss\Map3\Boss_Head.png
17007,..\Resource\Image\Object\Boss\Map3\Arm_Node.png
17008,..\Resource\Image\Object\Boss\Map3\Hand_Boss.png
17010,..\Resource\Image\Object\Boss\Map5\BigCapsuleBoss.png
17011,..\Resource\Image\Object\Boss\Map5\CapsuleBoss.png
